symbol,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-03-02
AARTIIND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARTRADE,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DATAPATTNS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DRREDDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HCLTECH,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
HDFCNIFIT,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICIL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
INFY,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITIETF,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METROPOLIS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NATCOPHARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PGINVIT,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
PHARMABEES,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
