symbol,2025-12-22
PCBL,0.46765393608726896
CAMS,0.7979545390688684
BAJFINANCE,1.7491525423728809
CASTROLIND,2.024675735526734
BIRLANU,3.141903556220503
ARE&M,3.4575260804769385
HDFCAMC,3.6289841231944715
HDFCBANK,3.995190973827804
JINDALPOLY,4.32098765432098
ABBOTINDIA,4.72636815920398
HGS,5.258693808312136
JINDALSAW,5.551156160912252
GULFPETRO,6.751592356687912
PPL,7.5820846638827515
TATACHEM,7.648780487804887
JUBLFOOD,8.673469387755128
WHIRLPOOL,8.685885436166226
CROMPTON,8.75109938434478
ASPINWALL,13.606792369610762
PNBGILTS,14.170337738619656
WSTCSTPAPR,14.190171561500456
BASML,14.3162393162393
GREAVESCOT,15.693321353698714
ITC,16.33714880332981
NTPC,16.666666666666664
IRFC,17.12309820193637
AARTIIND,18.423932871214884
PETRONET,20.24539877300615
COSMOFIRST,20.79357451774558
TMPV,21.399456521739125
GNFC,21.59921989273524
BALKRISIND,22.789539227895382
RVNL,23.15137437088655
OFSS,23.226772202514006
STOVEKRAFT,24.656295224312586
MAITHANALL,27.317708333333336
DMART,29.09110043147297
RITES,30.822721936241305
IFCI,31.273062730627288
PTC,33.24490134306087
JPPOWER,33.52112676056338
TTKPRESTIG,34.040910845233526
GENUSPOWER,34.48765256883337
GLAXO,34.898494683054835
BALMLAWRIE,34.92668283108187
EXIDEIND,35.241123476417584
ICIL,37.72893772893773
MOIL,37.91606367583215
ONGC,38.02704852824185
COCHINSHIP,38.25617480763508
RUBFILA,39.38307030129125
GAIL,39.53537936913897
DABUR,41.75715695952614
ZYDUSLIFE,42.569213732004464
HITECHGEAR,43.630805066239645
TCS,44.32372055239644
CIPLA,45.9662961634995
AMBUJACEM,48.20051413881753
TITAGARH,48.97782397782398
CHOLAHLDNG,50.263880092885785
METROPOLIS,53.20144365726508
COALINDIA,54.240837696335035
ABSLAMC,55.87851077726974
PGINVIT,55.9653916211293
CHOLAFIN,56.15623383341956
ICICIBANK,57.78558875219687
SMALLCAP,58.496093750000014
IPCALAB,58.50790150679901
MOTILALOFS,61.35261105298202
NATCOPHARM,61.451836451836485
SAIL,63.64988842053063
MONTECARLO,65.52724927442762
EIDPARRY,65.70932754880691
GULFOILLUB,66.02800294767876
DATAPATTNS,68.40938796385747
DRREDDY,71.14264919941778
TATASTEEL,72.47026374762972
INDIANB,74.42151344590368
EMBASSY,76.44759847783608
TMB,76.75048355899423
HEROMOTOCO,77.21705046545812
INFY,78.94594958889336
ICICIPRULI,79.23478260869562
GLENMARK,80.1107887101029
CARTRADE,80.57437368826545
CEATLTD,80.74139636590829
ASIANPAINT,80.76279292204686
HCLTECH,80.9732094040459
WIPRO,82.39572192513376
TECHM,83.8735000560727
IOC,84.13550226396109
ITIETF,84.4169246646027
IRBINVIT,85.2835606604451
HDFCNIFIT,85.50264550264546
AUROPHARMA,85.86587436332769
KTKBANK,85.90068159688411
GESHIP,86.56330749354007
LGBBROSLTD,87.18487394957984
TEGA,87.2048652516098
BAJAJ-AUTO,87.32778483095876
TATACONSUM,92.72515074888152
SOUTHBANK,93.06930693069309
JSL,93.73953799799132
ADANIPORTS,95.43407686668762
PHARMABEES,95.58823529411758
SGBN28VIII,96.00793035083184
MUTHOOTFIN,96.41187343699032
NIFTYETF,97.87052810902897
MANAPPURAM,97.96995533901746
LT,98.08312864229637
MIDCAPETF,98.13664596273293
GOLDBEES,100.0
IDFCFIRSTB,100.0
HINDZINC,100.0
HINDALCO,100.0
GOLDIETF,100.0
GOLDETF,100.0
MARUTI,100.0
MOGOLD,100.0
SETFGOLD,100.0
VEDL,100.0
TVSMOTOR,100.0
TITAN,100.0
HIL,
TATAMOTORS,
